head,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,action
,,,,,,,,,,,,,
"['136.5', '71.25', '1']","['135.0', '102.75', '1']","['102.75', '99.0', '0']","['160.5', '148.5', '1']","['141.0', '148.5', '0']","['162.0', '117.75', '1']","['154.5', '122.25', '0']","['114.75', '175.5', '1']","['107.25', '180.0', '0']","['142.5', '255.0', '1']","['102.0', '255.75', '1']","['141.75', '324.75', '1']","['93.0', '321.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['48.0', '52.0', '1']","['25.333333333333332', '80.66666666666666', '1']","['68.0', '72.66666666666666', '0']","['36.0', '106.0', '1']","['83.33333333333333', '108.0', '1']","['64.66666666666666', '81.33333333333333', '1']","['81.33333333333333', '81.33333333333333', '1']","['36.0', '140.0', '1']","['67.33333333333333', '150.0', '1']","['48.666666666666664', '202.0', '1']","['67.33333333333333', '200.0', '1']","['28.0', '260.0', '1']","['69.33333333333333', '247.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['178.0', '38.0', '1']","['153.33333333333331', '62.0', '1']","['193.33333333333331', '61.33333333333333', '1']","['140.66666666666666', '94.0', '1']","['202.0', '94.66666666666666', '1']","['155.33333333333331', '80.66666666666666', '1']","['175.33333333333331', '77.33333333333333', '1']","['158.66666666666666', '112.66666666666666', '1']","['191.33333333333331', '119.33333333333333', '1']","['158.66666666666666', '171.33333333333331', '1']","['193.33333333333331', '172.66666666666666', '1']","['202.66666666666666', '219.33333333333331', '1']","['150.0', '215.33333333333331', '1']",baseball_pitch
,,,,,,,,,,,,,
"['192.0', '36.0', '1']","['176.0', '70.66666666666666', '0']","['205.33333333333331', '64.0', '1']","['168.0', '97.33333333333333', '1']","['192.66666666666666', '96.66666666666666', '1']","['142.66666666666666', '79.33333333333333', '0']","['162.66666666666666', '80.66666666666666', '1']","['171.33333333333331', '130.0', '0']","['203.33333333333331', '130.0', '1']","['177.33333333333331', '173.33333333333331', '0']","['201.33333333333331', '176.0', '1']","['190.66666666666666', '225.33333333333331', '0']","['214.66666666666666', '236.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['268.0', '58.666666666666664', '1']","['291.3333333333333', '76.66666666666666', '1']","['262.66666666666663', '82.66666666666666', '1']","['291.3333333333333', '143.33333333333331', '0']","['258.66666666666663', '110.0', '1']","['290.66666666666663', '165.33333333333331', '0']","['256.66666666666663', '78.66666666666666', '0']","['298.0', '142.0', '1']","['275.3333333333333', '134.66666666666666', '1']","['289.3333333333333', '173.33333333333331', '1']","['267.3333333333333', '174.0', '1']","['292.66666666666663', '206.0', '1']","['263.3333333333333', '212.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['388.66666666666663', '40.0', '1']","['404.66666666666663', '57.33333333333333', '0']","['394.0', '60.666666666666664', '1']","['394.66666666666663', '120.66666666666666', '0']","['401.3333333333333', '85.33333333333333', '1']","['413.3333333333333', '128.0', '0']","['379.3333333333333', '95.33333333333333', '1']","['404.66666666666663', '109.33333333333333', '0']","['398.66666666666663', '105.33333333333333', '1']","['383.3333333333333', '140.0', '0']","['394.66666666666663', '137.33333333333331', '1']","['389.3333333333333', '179.33333333333331', '1']","['403.3333333333333', '180.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['126.0', '27.0', '1']","['95.25', '57.0', '1']","['132.75', '61.5', '0']","['89.25', '99.75', '1']","['161.25', '108.75', '0']","['136.5', '72.75', '1']","['162.0', '79.5', '1']","['69.0', '154.5', '1']","['106.5', '160.5', '1']","['107.25', '232.5', '1']","['126.0', '228.75', '1']","['82.5', '312.0', '1']","['117.75', '285.75', '1']",baseball_pitch
,,,,,,,,,,,,,
"['66.75', '17.25', '1']","['82.5', '49.5', '1']","['30.75', '48.0', '1']","['123.0', '90.75', '1']","['21.0', '82.5', '0']","['136.5', '88.5', '0']","['145.5', '73.5', '0']","['82.5', '154.5', '1']","['27.75', '167.25', '1']","['95.25', '256.5', '1']","['48.75', '252.0', '1']","['90.0', '336.0', '1']","['41.25', '325.5', '1']",baseball_pitch
,,,,,,,,,,,,,
"['306.0', '40.5', '1']","['324.75', '85.5', '1']","['285.75', '84.75', '1']","['341.25', '155.25', '0']","['284.25', '141.75', '1']","['319.5', '168.75', '0']","['292.5', '133.5', '0']","['327.0', '168.75', '1']","['297.0', '167.25', '1']","['326.25', '239.25', '1']","['298.5', '240.0', '1']","['330.75', '324.0', '1']","['300.75', '324.75', '1']",baseball_pitch
,,,,,,,,,,,,,
"['165.0742574257426', '29.40594059405941', '1']","['150.37128712871288', '48.78712871287129', '1']","['176.43564356435644', '50.79207920792079', '0']","['151.70792079207922', '64.15841584158416', '1']","['186.46039603960398', '76.85643564356437', '1']","['175.76732673267327', '50.12376237623763', '1']","['187.79702970297032', '55.47029702970298', '1']","['149.03465346534654', '94.23267326732673', '1']","['170.42079207920793', '100.91584158415843', '1']","['151.03960396039605', '137.0049504950495', '1']","['169.75247524752476', '137.0049504950495', '1']","['148.36633663366337', '179.7772277227723', '1']","['165.74257425742576', '179.10891089108912', '1']",baseball_pitch
,,,,,,,,,,,,,
"['194.0', '39.33333333333333', '1']","['172.66666666666666', '59.33333333333333', '1']","['209.33333333333331', '65.33333333333333', '1']","['157.33333333333331', '80.66666666666666', '1']","['213.33333333333331', '92.0', '1']","['141.33333333333331', '124.66666666666666', '0']","['198.66666666666666', '80.0', '1']","['174.66666666666666', '118.0', '1']","['202.66666666666666', '116.66666666666666', '1']","['172.0', '155.33333333333331', '1']","['213.33333333333331', '155.33333333333331', '1']","['163.33333333333331', '191.33333333333331', '1']","['226.0', '194.66666666666666', '1']",baseball_pitch
,,,,,,,,,,,,,
"['115.33333333333333', '6.0', '0']","['144.0', '23.333333333333332', '1']","['90.0', '29.333333333333332', '1']","['168.0', '57.33333333333333', '1']","['137.33333333333331', '74.66666666666666', '0']","['142.66666666666666', '48.0', '0']","['152.0', '66.0', '0']","['138.66666666666666', '111.33333333333333', '1']","['98.66666666666666', '124.66666666666666', '1']","['140.0', '175.33333333333331', '1']","['101.33333333333333', '174.0', '1']","['142.66666666666666', '237.33333333333331', '1']","['93.33333333333333', '238.0', '1']",baseball_pitch
,,,,,,,,,,,,,
"['291', '24', '1']","['315', '75', '1']","['251', '76', '1']","['332', '121', '1']","['226', '124', '0']","['373', '120', '0']","['236', '111', '0']","['305', '165', '1']","['257', '159', '1']","['304', '240', '1']","['262', '241', '1']","['293', '315', '1']","['248', '312', '1']",baseball_pitch
,,,,,,,,,,,,,
