head,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,action
"['136.5', '71.25', '1']","['135.0', '102.75', '1']","['102.75', '99.0', '0']","['160.5', '148.5', '1']","['141.0', '148.5', '0']","['162.0', '117.75', '1']","['154.5', '122.25', '0']","['114.75', '175.5', '1']","['107.25', '180.0', '0']","['142.5', '255.0', '1']","['102.0', '255.75', '1']","['141.75', '324.75', '1']","['93.0', '321.0', '1']",0
"['101.25', '31.5', '1']","['121.5', '72.0', '1']","['62.25', '70.5', '0']","['162.0', '111.75', '1']","['102.0', '134.25', '0']","['144.0', '78.0', '0']","['130.5', '111.0', '0']","['107.25', '185.25', '1']","['68.25', '171.0', '1']","['117.75', '268.5', '1']","['75.75', '263.25', '1']","['111.75', '332.25', '1']","['68.25', '329.25', '1']",0
"['407.25', '108.75', '1']","['426.75', '141.75', '1']","['381.75', '141.0', '1']","['417.0', '184.5', '0']","['371.25', '174.75', '1']","['423.75', '133.5', '0']","['412.5', '141.75', '0']","['409.5', '210.0', '1']","['382.5', '210.0', '1']","['411.0', '261.0', '1']","['380.25', '261.0', '1']","['405.0', '308.25', '1']","['379.5', '309.0', '1']",0
"['297.10833333333335', '98.54583333333333', '1']","['319.90625', '117.66666666666667', '1']","['280.9291666666667', '120.60833333333335', '1']","['327.2604166666667', '147.81875000000002', '1']","['271.36875000000003', '145.6125', '1']","['307.4041666666667', '119.1375', '0']","['306.66875000000005', '119.1375', '0']","['311.81666666666666', '180.91250000000002', '1']","['283.1354166666667', '180.91250000000002', '1']","['311.08125', '213.27083333333334', '1']","['280.9291666666667', '209.59375000000003', '1']","['313.2875', '241.2166666666667', '1']","['276.5166666666667', '242.68750000000003', '1']",0
"['123.33333333333333', '59.33333333333333', '1']","['108.0', '80.66666666666666', '1']","['132.66666666666666', '84.0', '1']","['112.66666666666666', '113.33333333333333', '1']","['141.33333333333331', '116.66666666666666', '1']","['142.0', '89.33333333333333', '1']","['153.33333333333331', '100.66666666666666', '1']","['113.33333333333333', '146.66666666666666', '1']","['134.66666666666666', '150.0', '1']","['119.33333333333333', '203.33333333333331', '1']","['134.0', '199.33333333333331', '1']","['112.0', '243.33333333333331', '1']","['140.0', '240.66666666666666', '1']",0
"['195.33333333333331', '25.333333333333332', '1']","['216.0', '58.0', '1']","['171.33333333333331', '57.33333333333333', '1']","['228.0', '90.66666666666666', '1']","['165.33333333333331', '93.33333333333333', '0']","['223.33333333333331', '116.66666666666666', '0']","['212.0', '80.0', '0']","['210.0', '123.33333333333333', '1']","['171.33333333333331', '124.66666666666666', '1']","['202.66666666666666', '186.66666666666666', '1']","['174.66666666666666', '185.33333333333331', '1']","['198.0', '233.33333333333331', '1']","['170.66666666666666', '230.0', '1']",0
"['232.5', '42.75', '1']","['221.25', '68.25', '1']","['255.75', '63.75', '1']","['213.0', '96.0', '1']","['264.0', '93.0', '1']","['221.25', '99.0', '1']","['251.25', '87.0', '1']","['227.25', '120.0', '1']","['257.25', '118.5', '1']","['228.0', '170.25', '1']","['255.75', '165.75', '1']","['232.5', '206.25', '1']","['255.75', '210.0', '1']",0
"['196.66666666666666', '58.0', '1']","['190.0', '74.66666666666666', '1']","['209.33333333333331', '79.33333333333333', '1']","['176.66666666666666', '97.33333333333333', '0']","['198.66666666666666', '106.66666666666666', '1']","['242.66666666666666', '137.33333333333331', '0']","['181.33333333333331', '88.66666666666666', '1']","['198.66666666666666', '173.33333333333331', '0']","['214.0', '122.66666666666666', '1']","['190.0', '168.66666666666666', '1']","['206.0', '171.33333333333331', '1']","['196.0', '212.0', '1']","['208.66666666666666', '218.66666666666666', '1']",0
"['69.33333333333333', '45.33333333333333', '1']","['48.666666666666664', '62.666666666666664', '1']","['70.0', '64.66666666666666', '1']","['68.66666666666666', '88.66666666666666', '1']","['80.66666666666666', '95.33333333333333', '1']","['86.66666666666666', '74.0', '1']","['97.33333333333333', '82.0', '1']","['48.0', '114.66666666666666', '1']","['64.0', '114.0', '0']","['64.66666666666666', '171.33333333333331', '1']","['47.33333333333333', '168.66666666666666', '0']","['65.33333333333333', '222.66666666666666', '1']","['43.33333333333333', '223.33333333333331', '1']",0
"['108.0', '62.25', '1']","['78.0', '92.25', '1']","['147.0', '100.5', '0']","['96.0', '131.25', '1']","['135.75', '141.0', '1']","['121.5', '100.5', '1']","['145.5', '117.0', '1']","['85.5', '178.5', '1']","['127.5', '172.5', '1']","['106.5', '245.25', '1']","['128.25', '243.0', '1']","['91.5', '305.25', '1']","['123.75', '292.5', '1']",0
