head,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,action
"['165.0742574257426', '29.40594059405941', '1']","['150.37128712871288', '48.78712871287129', '1']","['176.43564356435644', '50.79207920792079', '0']","['151.70792079207922', '64.15841584158416', '1']","['186.46039603960398', '76.85643564356437', '1']","['175.76732673267327', '50.12376237623763', '1']","['187.79702970297032', '55.47029702970298', '1']","['149.03465346534654', '94.23267326732673', '1']","['170.42079207920793', '100.91584158415843', '1']","['151.03960396039605', '137.0049504950495', '1']","['169.75247524752476', '137.0049504950495', '1']","['148.36633663366337', '179.7772277227723', '1']","['165.74257425742576', '179.10891089108912', '1']",0
"['291', '24', '1']","['315', '75', '1']","['251', '76', '1']","['332', '121', '1']","['226', '124', '0']","['373', '120', '0']","['236', '111', '0']","['305', '165', '1']","['257', '159', '1']","['304', '240', '1']","['262', '241', '1']","['293', '315', '1']","['248', '312', '1']",0
"['148.5', '43.5', '1']","['172.5', '78.75', '1']","['117.75', '75.0', '1']","['180.0', '134.25', '1']","['109.5', '126.75', '0']","['171.75', '135.0', '0']","['137.25', '130.5', '0']","['165.0', '174.0', '1']","['111.0', '183.75', '1']","['151.5', '254.25', '1']","['108.0', '252.75', '1']","['147.75', '311.25', '1']","['101.25', '309.0', '1']",0
"['266.0', '32.0', '1']","['248.66666666666666', '61.33333333333333', '1']","['300.66666666666663', '58.666666666666664', '1']","['242.66666666666666', '87.33333333333333', '1']","['300.66666666666663', '84.66666666666666', '1']","['262.66666666666663', '56.0', '1']","['284.66666666666663', '52.666666666666664', '1']","['255.33333333333331', '113.33333333333333', '1']","['296.0', '122.0', '1']","['254.66666666666666', '177.33333333333331', '1']","['293.3333333333333', '178.66666666666666', '1']","['248.66666666666666', '230.0', '1']","['306.0', '231.33333333333331', '1']",0
"['190.0', '51.33333333333333', '1']","['178.66666666666666', '72.66666666666666', '1']","['162.66666666666666', '78.0', '0']","['197.33333333333331', '100.0', '1']","['179.33333333333331', '82.0', '0']","['202.0', '80.66666666666666', '1']","['140.66666666666666', '55.33333333333333', '0']","['178.66666666666666', '132.66666666666666', '1']","['156.0', '140.0', '0']","['185.33333333333331', '180.0', '1']","['172.0', '181.33333333333331', '1']","['182.0', '222.66666666666666', '1']","['170.0', '216.66666666666666', '1']",0
"['279.0', '72.0', '1']","['275.25', '110.25', '0']","['300.0', '96.0', '1']","['270.0', '150.75', '1']","['276.0', '138.75', '1']","['245.25', '126.75', '1']","['252.75', '111.75', '1']","['264.75', '204.75', '0']","['311.25', '178.5', '1']","['279.75', '265.5', '0']","['308.25', '261.75', '1']","['252.75', '323.25', '0']","['312.0', '333.75', '1']",0
"['156.75', '51.0', '1']","['169.5', '80.25', '1']","['127.5', '87.0', '1']","['214.5', '104.25', '1']","['146.25', '136.5', '0']","['179.25', '84.75', '0']","['162.75', '111.0', '0']","['180.75', '188.25', '1']","['129.0', '183.75', '1']","['172.5', '258.0', '1']","['127.5', '254.25', '1']","['166.5', '333.75', '1']","['121.5', '330.75', '1']",0
"['244.0', '85.33333333333333', '1']","['230.0', '102.66666666666666', '0']","['257.3333333333333', '98.0', '1']","['229.33333333333331', '121.33333333333333', '1']","['269.3333333333333', '122.66666666666666', '1']","['240.0', '106.0', '1']","['256.0', '106.0', '1']","['240.66666666666666', '141.33333333333331', '1']","['260.66666666666663', '140.66666666666666', '1']","['246.0', '178.66666666666666', '1']","['258.0', '184.0', '1']","['244.66666666666666', '215.33333333333331', '1']","['258.66666666666663', '216.0', '1']",0
"['292.0', '36.0', '1']","['281.3333333333333', '58.0', '1']","['308.66666666666663', '54.666666666666664', '1']","['276.0', '90.0', '1']","['311.3333333333333', '90.0', '1']","['273.3333333333333', '104.0', '1']","['292.0', '106.66666666666666', '1']","['282.66666666666663', '120.0', '0']","['311.3333333333333', '109.33333333333333', '1']","['285.3333333333333', '154.66666666666666', '1']","['298.66666666666663', '156.0', '1']","['290.66666666666663', '196.66666666666666', '1']","['307.3333333333333', '202.0', '1']",0
"['152.0', '25.333333333333332', '1']","['138.66666666666666', '40.666666666666664', '1']","['168.66666666666666', '48.666666666666664', '0']","['161.33333333333331', '58.666666666666664', '1']","['168.0', '72.66666666666666', '1']","['176.0', '42.666666666666664', '1']","['185.33333333333331', '54.666666666666664', '1']","['138.66666666666666', '92.0', '1']","['156.0', '99.33333333333333', '0']","['144.66666666666666', '144.66666666666666', '1']","['161.33333333333331', '142.66666666666666', '1']","['137.33333333333331', '194.0', '1']","['156.66666666666666', '188.66666666666666', '1']",0
"['122.66666666666666', '22.0', '1']","['130.66666666666666', '47.33333333333333', '1']","['118.0', '56.0', '0']","['164.0', '73.33333333333333', '1']","['151.33333333333331', '83.33333333333333', '0']","['148.66666666666666', '68.66666666666666', '0']","['124.66666666666666', '104.0', '0']","['132.0', '120.0', '1']","['111.33333333333333', '119.33333333333333', '0']","['137.33333333333331', '192.0', '1']","['111.33333333333333', '192.0', '1']","['142.0', '241.33333333333331', '1']","['101.33333333333333', '242.66666666666666', '1']",0
